x,y
-0.7977141,-0.61847764
10.61648,5.021272
-6.959104,8.685099
25.763605,-9.192253
-3.0952966,17.131298
-2.9006715,17.0764
-3.9303744,5.7783937
-3.5675795,15.309709
-2.025422,-2.0413334
14.807697,3.5043147
0.22734836,6.668867
-13.727223,-6.116158
10.725903,2.9050655
-2.73696,-0.7865731
0.3031212,-6.8367195
-8.626507,7.8486533
15.658027,-5.6673136
16.463097,-6.8945804
-2.0236444,4.641506
-6.4579864,8.000886
-4.983951,16.06903
25.30816,-11.060854
-18.265139,-1.6534654
-3.014471,4.502195
-14.424737,8.696847
-18.320276,10.258444
4.0636306,1.6656076
-13.096185,-1.403581
-6.9863853,15.072559
-7.0839252,5.259523
-12.319922,9.315827
-5.1908064,3.0361712
-12.596423,-3.4594862
22.91159,-4.886909
-4.5269623,11.601994
19.767847,-9.820899
5.07789,-2.463174
-1.532709,15.733118
-18.708105,7.631024
3.1469932,13.399052
-3.2343538,13.204613
7.557131,0.27465898
-3.9143193,-9.309093
-5.7446613,-11.462354
-6.590621,1.4140457
-5.4493194,-8.597279
-16.693228,3.6656785
-5.5543633,11.935687
-18.063198,0.28694537
-6.016199,-5.002072
-20.65449,-2.339104
-9.288361,5.3254175
-5.97893,-12.073286
-14.863446,12.620725
-5.447645,-12.53546
-3.6540785,-14.278412
-13.923808,11.549919
-24.41335,-2.5028543
2.0989535,-3.7105687
-3.1104057,-13.856581
-1.4613401,-10.584581
-24.743916,-3.1267793
14.644008,5.601735
23.655327,-12.299012
24.677212,-8.818831
23.011868,-5.7122717
9.959854,-8.506341
20.472239,-14.580139
-21.178932,-1.7526385
